"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000176907",33.0324760528398,-1.32933440799072,0.943004181295165,0.020048305489227,0.043133460160693
"ENSG00000197415",39.8199394131481,-1.03229271683231,0.634588468937082,0.0200618510331334,0.0431586813475832
"ENSG00000144821",98.1622558422671,0.954497378405996,0.562670158841419,0.0200736162884236,0.0431800683983834
"ENSG00000237950",5.34722558581062,-3.01231870568369,2.74110550310187,0.0200832687461599,0.0431969071677713
"ENSG00000079332",3376.24205639181,0.37370417985871,0.169501750646602,0.0201036127623811,0.0432367371582248
"ENSG00000212932",25.0819533069112,0.849745181251388,0.474218390127589,0.0201107796766493,0.0432482225616735
"ENSG00000112320",68.8526706364988,-1.02526164428861,0.628487894589087,0.0201299867159594,0.0432855958108956
"ENSG00000117899",2184.65352956928,0.374327038685892,0.169870951363497,0.0201394693987002,0.0433020538460793
"ENSG00000160949",1374.00272352984,-0.70735328420461,0.368240879732023,0.020173382970803,0.0433710331971037
"ENSG00000240990",130.820466839005,0.686402928681718,0.353877788948998,0.0201869750802272,0.0433963145972888
"ENSG00000264222",4.71992989315398,-2.18791604059166,1.84126290217528,0.0202057416147741,0.0434327139548803
"ENSG00000227120",3.03233161101634,2.64325183602601,2.31310617851727,0.0202154575023176,0.0434496538927355
"ENSG00000164828",3921.46567617648,0.449180956412016,0.209245685237446,0.0202206184859024,0.0434568016602261
"ENSG00000008300",182.556577754036,-0.848080750092829,0.473545726743504,0.0202229127505812,0.0434577877287631
"ENSG00000111181",9.51972962541397,-2.00489510722015,1.65698219991353,0.0202388676066567,0.0434881267195581
"ENSG00000147586",914.849456237653,-0.461129695062688,0.215890510691398,0.0202780931821848,0.0435684584641188
"ENSG00000261740",560.294156798018,0.429157419907316,0.198688874691648,0.0203398105992392,0.0436970960491957
"ENSG00000154447",1860.18009812047,-0.407093881853751,0.187098650706483,0.0203754609540593,0.043766862780992
"ENSG00000147437",45.4876524531509,0.916043584337125,0.531113727339387,0.0203759821106929,0.043766862780992
"ENSG00000157916",4763.39685520748,-0.298481127192978,0.132977740586049,0.0203933600349812,0.0438002163958863
"ENSG00000124733",1881.78087767,0.348370427751172,0.157264566167111,0.020416454185052,0.0438458399763698
"ENSG00000187513",3.1597518018262,2.65918225171588,2.33877723952917,0.0204261856303197,0.043862760490575
"ENSG00000157335",11.8364079906764,-1.19572941812313,0.804721466177687,0.0204413089892563,0.0438912553676087
"ENSG00000127589",220.47749853652,0.792108093395112,0.431091719680482,0.0204505063924025,0.0439045455133515
"ENSG00000261334",6.05634682144406,-2.08266099991938,1.7413628071401,0.020451207182783,0.0439045455133515
"ENSG00000145107",24.5803849565884,1.43933723871915,1.06888300708243,0.0204598296381987,0.0439150925884897
"ENSG00000240053",289.277384637414,0.761821484620778,0.408474704700486,0.0204597520852459,0.0439150925884897
"ENSG00000162688",1760.69493600535,-0.436130864556944,0.202662471064491,0.0204692990656626,0.0439314352771658
"ENSG00000178982",6325.10561610317,-0.408489994028994,0.187993066345592,0.0204725613915178,0.043934454460887
"ENSG00000237222",2.87623649899832,-2.72209341693323,2.41072361552184,0.0204791137862503,0.0439445329995512
"ENSG00000156413",28.3838223745648,1.12209290702228,0.72841736032994,0.0205081323833866,0.0440028138143584
